trip_id,service_id,route_id,trip_headsign,direction_id,block_id
"1","8","0006","6 | Saint-Jacques Morinais","0","1049116"
"10","28","0006","6 | Cesson-Sévigné Base de Loisirs","1","1049387"
"100","28","0006","6 | Saint-Jacques Morinais","0","1049377"
"1000","28","0011","11 | ZI Sud-Est","1","1049229"
"10000","15","0079","79 | Rennes Henri Fréville","1","1067924"
"10001","19","0079","79 | Rennes Henri Fréville","1","1068142"
"10002","26","0079","79 | Rennes Henri Fréville","1","1070403"
"10003","6","0079","79 | Rennes Henri Fréville","1","1068379"
"10004","11","0079","79 | Rennes Henri Fréville","1","1067707"
"10005","15","0079","79 | Rennes Henri Fréville","1","1067927"
"10006","19","0079","79 | Rennes Henri Fréville","1","1068145"
"10007","26","0079","79 | Rennes Henri Fréville","1","1070406"
"10008","19","0079","79 | Pont-Péan Laillé","0","1068259"
"10009","6","0172","172 | Rennes Henri Fréville","1","1068401"
"1001","8","0011","11 | ZI Sud-Est","1","1048967"
"10010","11","0172","172 | Rennes Henri Fréville","1","1067729"
"10011","15","0172","172 | Rennes Henri Fréville","1","1067949"
"10012","19","0172","172 | Rennes Henri Fréville","1","1068166"
"10013","26","0172","172 | Rennes Henri Fréville","1","1070428"
"10014","6","0172","172 | Rennes Henri Fréville","1","1068399"
"10015","11","0172","172 | Rennes Henri Fréville","1","1067727"
"10016","15","0172","172 | Rennes Henri Fréville","1","1067947"
"10017","19","0172","172 | Rennes Henri Fréville","1","1068164"
"10018","26","0172","172 | Rennes Henri Fréville","1","1070426"
"10019","6","0172","172 | Rennes Henri Fréville","1","1068401"
"1002","13","0011","11 | ZI Sud-Est","1","1048437"
"10020","11","0172","172 | Rennes Henri Fréville","1","1067729"
"10021","15","0172","172 | Rennes Henri Fréville","1","1067949"
"10022","19","0172","172 | Rennes Henri Fréville","1","1068166"
"10023","26","0172","172 | Rennes Henri Fréville","1","1070428"
"10024","6","0172","172 | Chartres-de-Bretagne","0","1068400"
"10025","11","0172","172 | Chartres-de-Bretagne","0","1067728"
"10026","15","0172","172 | Chartres-de-Bretagne","0","1067948"
"10027","19","0172","172 | Chartres-de-Bretagne","0","1068165"
"10028","26","0172","172 | Chartres-de-Bretagne","0","1070427"
"10029","6","0172","172 | Chartres-de-Bretagne","0","1068398"
"1003","17","0011","11 | ZI Sud-Est","1","1047483"
"10030","11","0172","172 | Chartres-de-Bretagne","0","1067726"
"10031","15","0172","172 | Chartres-de-Bretagne","0","1067946"
"10032","19","0172","172 | Chartres-de-Bretagne","0","1068163"
"10033","26","0172","172 | Chartres-de-Bretagne","0","1070425"
"10034","6","0172","172 | Chartres-de-Bretagne","0","1068400"
"10035","11","0172","172 | Chartres-de-Bretagne","0","1067728"
"10036","15","0172","172 | Chartres-de-Bretagne","0","1067948"
"10037","19","0172","172 | Chartres-de-Bretagne","0","1068165"
"10038","26","0172","172 | Chartres-de-Bretagne","0","1070427"
"10039","6","0172","172 | Chartres-de-Bretagne","0","1068398"
"1004","21","0011","11 | ZI Sud-Est","1","1049774"
"10040","11","0172","172 | Chartres-de-Bretagne","0","1067726"
"10041","15","0172","172 | Chartres-de-Bretagne","0","1067946"
"10042","19","0172","172 | Chartres-de-Bretagne","0","1068163"
"10043","26","0172","172 | Chartres-de-Bretagne","0","1070425"
"10044","6","0172","172 | Chartres-de-Bretagne","0","1068400"
"10045","11","0172","172 | Chartres-de-Bretagne","0","1067728"
"10046","15","0172","172 | Chartres-de-Bretagne","0","1067948"
"10047","19","0172","172 | Chartres-de-Bretagne","0","1068165"
"10048","26","0172","172 | Chartres-de-Bretagne","0","1070427"
"10049","6","0172","172 | Rennes Henri Fréville","1","1068399"
"1005","28","0011","11 | ZI Sud-Est","1","1049231"
