service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4503599629230145,1,1,1,1,1,0,0,20130102,20131031
4503599629560004,1,1,1,1,1,1,0,20130102,20141231
4503599631507892,1,1,1,1,1,0,0,20130102,20151231
4503599631507895,0,0,0,0,0,1,0,20130105,20151226
4503599631507909,1,1,1,1,1,0,0,20130102,20140509
4503599631512310,1,1,1,1,1,0,0,20130102,20141231
4503599631529079,1,1,1,1,1,0,0,20130708,20130830
4503599631531208,1,1,1,1,1,1,0,20130902,20140830
4503599631531497,1,1,1,1,1,0,0,20130826,20140825
4503599631531511,1,1,1,1,1,0,0,20130902,20140829
4503599631532894,1,1,1,1,1,0,0,20131002,20151231
4503599631532916,1,1,1,1,1,0,0,20130902,20130913
4503603923740912,1,1,1,1,1,0,0,20130902,20140704
4503603925963979,0,0,0,0,0,1,0,20130105,20141227
4503603927867434,1,1,1,1,1,1,1,20130701,20140831
4503603927919092,1,1,1,1,1,0,0,20130916,20151231
4503603927925062,1,1,1,1,1,0,0,20131104,20141231
4503603927945615,0,1,0,0,1,1,0,20131029,20140829
4503603927994127,1,1,1,1,1,0,0,20140211,20140528
4503603927994199,0,0,0,0,0,1,0,20140215,20140531
4503603927994485,0,0,0,0,0,1,0,20140215,20140614
4503603927994532,1,1,1,1,1,0,0,20140211,20140616
4503603927994603,0,0,0,0,0,0,1,20140216,20140615
4503603928001757,1,1,1,1,1,1,0,20140211,20140616
4503603928002927,1,1,0,1,1,0,0,20140211,20140616
4503603928006143,0,0,0,0,0,0,1,20140216,20140615
4503603928010022,1,1,0,1,1,0,0,20140211,20140528
4503603928016307,1,1,1,1,1,0,0,20140217,20140616
4503603928016309,0,0,0,0,0,0,1,20140223,20140615
4503603928016310,0,0,0,0,0,1,0,20140222,20140614
4503603928016326,0,0,0,0,1,0,0,20140221,20140613
4503603928020315,0,0,0,0,0,1,0,20140308,20140614
4503603928021220,0,0,0,0,0,1,1,20140308,20140615
4503603928021363,0,0,0,0,0,0,1,20140309,20140615
4503603928021593,1,1,1,1,1,0,0,20140317,20140616
4503603928021938,1,1,1,1,1,0,0,20140317,20140616
4503603928022684,1,1,0,1,1,0,0,20140317,20140616
4503603928027944,0,0,0,0,0,1,0,20140322,20140614
4503603928028357,0,0,0,0,0,0,1,20140323,20140615
4503603928028618,1,1,1,1,1,0,0,20140331,20140616
4503603928029231,1,1,1,1,1,0,0,20140331,20140616
4503603928030601,0,0,0,0,0,1,0,20140405,20140614
4503603928031644,0,0,0,0,0,0,1,20140406,20140615
4503603928033345,0,1,1,1,1,0,0,20140422,20140616
4503603928033660,0,1,0,1,1,0,0,20140422,20140616
4503603928033693,1,0,0,0,0,0,0,20140421,20140615
4503603928033903,0,0,0,0,0,1,0,20140426,20140614
4503603928042293,0,0,0,0,0,1,0,20140503,20140614
4503603928042572,0,0,0,1,0,0,1,20140504,20140615
4503603928043058,1,1,1,1,0,0,1,20140101,20141231
4503603928043059,0,0,0,0,1,1,0,20140103,20141227
4503603928043263,1,1,1,1,1,0,0,20140512,20140616
4503603928044673,1,1,1,1,1,0,0,20140512,20151231
4503603928044686,0,0,1,0,0,0,0,20140514,20140604
4503603928044876,0,0,0,0,1,0,0,20140516,20140613
4503603928045309,0,0,0,0,0,1,0,20140517,20140614
4503603928045461,1,1,1,1,1,1,0,20140512,20140616
4503603928045730,0,0,0,0,0,0,1,20140518,20140615
4503603928046054,1,1,0,1,1,0,0,20140512,20140616
4503603928046967,1,1,1,1,1,0,0,20140512,20140616
4503603928047005,0,0,0,0,0,1,1,20140517,20140615
4503603928050310,0,0,0,1,0,0,0,20140529,20140609
4503603928050942,0,0,0,0,1,0,0,20140530,20140530
4503603928057381,1,1,1,0,0,0,0,20140526,20140616
4503603928057414,0,0,0,0,0,1,0,20140531,20140614
4503603928057927,0,0,0,1,0,0,1,20140529,20140615
4503603928058183,1,1,1,1,0,0,1,20140101,20141231
4503603928058184,0,0,0,0,1,1,0,20140103,20141227
4503603928058187,1,1,1,1,1,0,0,20140602,20140616
4503603928058586,1,1,0,1,1,0,0,20140602,20140616
4503603928058587,0,0,1,0,0,0,0,20140604,20140604
4503603928058770,0,0,0,0,1,0,0,20140606,20140613
4503603928058772,0,0,0,0,0,1,0,20140607,20140614
4503603928059049,1,0,0,0,0,0,0,20140609,20140609
4503603928059478,0,0,1,0,0,0,0,20140611,20140611
4503603928059480,0,0,0,1,0,0,0,20140612,20140612
4785078899048804,1,1,1,1,1,0,0,20140102,20141231
4785078899048805,1,1,1,1,0,0,0,20140102,20141231
4785078899048807,1,1,1,1,0,0,0,20140102,20141218
4785078899048812,1,1,1,1,0,0,0,20140102,20141231
4785078899048813,0,0,0,0,1,0,0,20140110,20141219
4785078899048825,0,0,0,0,0,1,0,20140104,20141227
4785078899048826,0,0,0,0,0,1,0,20140104,20141227
4785078899048828,0,0,0,0,1,1,0,20140103,20141227
4785078899048829,0,0,1,0,0,0,1,20140101,20141228
4785078899048830,0,0,0,0,0,0,1,20140105,20141228
4785078899048836,1,1,0,0,0,0,0,20140428,20141231
4785078899048843,0,0,0,0,1,0,0,20140103,20141226
4785078899048847,0,0,0,0,1,0,0,20140502,20140822
4785078899048852,1,1,1,1,0,0,0,20140721,20140821
4785078899048853,0,0,0,0,1,0,0,20140502,20140822
4785078899048854,0,0,0,0,0,1,0,20140726,20140816
4785078899048858,0,0,1,0,0,0,0,20140101,20141225
4785078899049044,1,1,1,1,1,0,0,20140106,20141219
4785078899049046,1,1,1,1,0,0,0,20140106,20141218
4785078899049048,1,1,1,1,0,1,0,20140104,20141227
4785078899049051,1,1,1,1,0,0,0,20140106,20141218
4785078899049061,0,0,0,0,1,0,0,20140110,20141219
4785078899049065,0,0,0,0,0,1,0,20140104,20141227
4785078899049066,0,0,0,0,0,1,0,20140104,20141227
4785078899049077,0,0,0,0,0,0,1,20140105,20141207
4785078899049090,0,0,0,1,1,0,0,20140102,20141231
4785078899049092,0,0,0,1,0,0,0,20140102,20141231
4785078899049106,0,0,0,1,0,0,0,20140102,20141231
4785078899049108,0,0,0,0,1,0,0,20140103,20141226
4785078899049110,0,0,0,0,1,0,0,20140103,20141226
4785078899049137,0,0,0,0,1,0,0,20140502,20140822
4785078899049147,0,0,0,0,0,1,0,20140719,20140823
4785078899049159,0,0,1,0,0,0,0,20140101,20141228
